ownerage,ednyears,male,ageoffirm,ownershours,country
37,11,0,6,30,Sri Lanka
37,11,1,6,60,Sri Lanka
37,11,1,6,60,Sri Lanka
37,11,1,6,70,Sri Lanka
37,11,1,6,49,Sri Lanka
37,11,1,6,45,Sri Lanka
37,11,1,6,56,Sri Lanka
37,11,1,6,50,Sri Lanka
37,11,1,6,50,Sri Lanka
37,11,1,6,48,Sri Lanka
37,11,1,6,75,Sri Lanka
40,4,0,23,36,Sri Lanka
40,4,1,23,54,Sri Lanka
40,4,1,23,60,Sri Lanka
40,4,1,23,54,Sri Lanka
40,4,1,23,54,Sri Lanka
40,4,1,23,60,Sri Lanka
40,4,1,23,40,Sri Lanka
40,4,1,23,35,Sri Lanka
40,4,1,23,30,Sri Lanka
40,4,1,23,48,Sri Lanka
40,4,1,23,36,Sri Lanka
37,11,0,8,60,Sri Lanka
37,11,1,8,60,Sri Lanka
37,11,1,8,0,Sri Lanka
37,11,1,8,0,Sri Lanka
37,11,1,8,70,Sri Lanka
37,11,1,8,8,Sri Lanka
37,11,1,8,56,Sri Lanka
37,11,1,8,72,Sri Lanka
37,11,1,8,54,Sri Lanka
37,11,1,8,16,Sri Lanka
31,11,0,8,84,Sri Lanka
31,11,1,8,48,Sri Lanka
31,11,1,8,72,Sri Lanka
31,11,1,8,72,Sri Lanka
31,11,1,8,84,Sri Lanka
31,11,1,8,70,Sri Lanka
31,11,1,8,72,Sri Lanka
31,11,1,8,66,Sri Lanka
31,11,1,8,70,Sri Lanka
31,11,1,8,63,Sri Lanka
32,11,0,1,42,Sri Lanka
32,11,1,1,54,Sri Lanka
32,11,1,1,49,Sri Lanka
32,11,1,1,0,Sri Lanka
32,11,1,1,49,Sri Lanka
32,11,1,1,50,Sri Lanka
32,11,0,1,10,Sri Lanka
32,11,0,1,14,Sri Lanka
32,11,0,1,14,Sri Lanka
32,11,0,1,7,Sri Lanka
32,11,0,1,0,Sri Lanka
41,11,0,1,40,Sri Lanka
41,11,1,1,42,Sri Lanka
41,11,1,1,72,Sri Lanka
37,11,0,13,25,Sri Lanka
37,11,1,13,70,Sri Lanka
37,11,1,13,25,Sri Lanka
37,11,1,13,30,Sri Lanka
37,11,1,13,45,Sri Lanka
37,11,1,13,50,Sri Lanka
37,11,1,13,70,Sri Lanka
37,11,1,13,70,Sri Lanka
37,11,1,13,46,Sri Lanka
43,10,0,18,91,Sri Lanka
43,10,1,18,105,Sri Lanka
43,10,1,18,91,Sri Lanka
43,10,1,18,77,Sri Lanka
43,10,1,18,75,Sri Lanka
43,10,1,18,65,Sri Lanka
43,10,1,18,100,Sri Lanka
43,10,1,18,50,Sri Lanka
43,10,1,18,80,Sri Lanka
43,10,1,18,90,Sri Lanka
43,10,0,18,35,Sri Lanka
35,11,0,12,70,Sri Lanka
35,11,1,12,72,Sri Lanka
40,11,0,8,98,Sri Lanka
40,11,1,8,90,Sri Lanka
40,11,1,8,50,Sri Lanka
40,11,1,8,84,Sri Lanka
40,11,1,8,90,Sri Lanka
40,11,1,8,80,Sri Lanka
40,11,1,8,98,Sri Lanka
40,11,1,8,66,Sri Lanka
40,11,1,8,84,Sri Lanka
40,11,1,8,28,Sri Lanka
40,11,1,8,60,Sri Lanka
36,10,0,4,105,Sri Lanka
36,10,1,4,98,Sri Lanka
36,10,1,4,84,Sri Lanka
36,10,1,4,90,Sri Lanka
36,10,1,4,90,Sri Lanka
36,10,1,4,56,Sri Lanka
36,10,1,4,105,Sri Lanka
36,10,1,4,70,Sri Lanka
36,10,1,4,91,Sri Lanka
36,10,1,4,60,Sri Lanka
36,10,1,4,84,Sri Lanka
40,11,0,12,91,Sri Lanka
40,11,1,12,70,Sri Lanka
40,11,1,12,90,Sri Lanka
40,11,1,12,93,Sri Lanka
40,11,1,12,56,Sri Lanka
40,11,1,12,50,Sri Lanka
40,11,1,12,70,Sri Lanka
40,11,1,12,70,Sri Lanka
40,11,1,12,105,Sri Lanka
40,11,1,12,49,Sri Lanka
40,11,1,12,70,Sri Lanka
45,13,0,2,30,Sri Lanka
45,13,1,2,45,Sri Lanka
36,10,0,2,72,Sri Lanka
36,10,1,2,42,Sri Lanka
36,10,1,2,70,Sri Lanka
36,10,1,2,49,Sri Lanka
36,10,1,2,42,Sri Lanka
36,10,1,2,35,Sri Lanka
36,10,1,2,43,Sri Lanka
36,10,1,2,56,Sri Lanka
36,10,1,2,60,Sri Lanka
36,10,1,2,54,Sri Lanka
36,10,1,2,72,Sri Lanka
21,11,0,4,70,Sri Lanka
21,11,1,4,44,Sri Lanka
21,11,1,4,60,Sri Lanka
21,11,1,4,75,Sri Lanka
21,11,1,4,54,Sri Lanka
21,11,1,4,72,Sri Lanka
21,11,1,4,77,Sri Lanka
21,11,1,4,60,Sri Lanka
21,11,1,4,56,Sri Lanka
21,11,1,4,70,Sri Lanka
21,11,1,4,56,Sri Lanka
39,2,0,7,42,Sri Lanka
39,2,1,7,24,Sri Lanka
39,2,1,7,0,Sri Lanka
39,2,1,7,0,Sri Lanka
39,2,1,7,0,Sri Lanka
39,2,1,7,0,Sri Lanka
39,2,1,7,84,Sri Lanka
39,2,1,7,72,Sri Lanka
39,2,1,7,60,Sri Lanka
39,2,1,7,60,Sri Lanka
31,11,0,14,35,Sri Lanka
31,11,1,14,12,Sri Lanka
31,11,1,14,56,Sri Lanka
31,11,1,14,40,Sri Lanka
31,11,1,14,40,Sri Lanka
31,11,1,14,70,Sri Lanka
31,11,1,14,48,Sri Lanka
31,11,1,14,48,Sri Lanka
31,11,1,14,0,Sri Lanka
31,11,1,14,32,Sri Lanka
31,11,1,14,70,Sri Lanka
45,11,0,24,84,Sri Lanka
45,11,1,24,75,Sri Lanka
45,11,1,24,63,Sri Lanka
45,11,1,24,56,Sri Lanka
